subject %matematica1
subject %fisica1
subject %fondamentidiprogrammazione
item %32%0%ciao%calcolatrice%1
item %64%0%ciao%appuntidimatematica1%1
item %96%0%ciao%appuntidifisica1%1
item %128%0%ciao%quartieri%1
item %160%0%ciao%pc%1
item %192%0%ciao%deitel%1
item %224%0%ciao%appuntidimatematica2%2
item %256%0%ciao%pc2%2
item %288%0%ciao%deitel2%2
item %320%0%ciao%quartieri2%4
quest %1%matematica1%calcolatrice%appuntidimatematica1
quest %1%fisica1%appuntidifisica1%quartieri
quest %1%fondamentidiprogrammazione%pc%deitel
quest %2%matematica2%appuntidimatematica2
quest %2%fisica2%appuntidifisica2%quartieri2
quest %2%fondamentidiprogrammazione2%pc2%deitel2
professor %Foggia%12%12%path%matematica1
professor %Falanga%40%40%path%fisica1
professor %DellaCioppa%178%123%path%fondamentidiprogrammazione
block %3008%2784 %0%f
block %2848%2752 %0%f
block %2816%2752 %0%f
block %2784%2720 %0%f
block %2784%2656 %0%f
block %2784%2688 %0%f
block %2784%2720 %0%f
block %2784%2752 %0%f
block %2880%2752 %0%f
block %512%2816 %0%f
block %544%2816 %0%f
block %544%2848 %0%f
block %512%2848 %0%f
block %576%2816 %0%f
block %608%2816 %0%f
block %608%2848 %0%f
block %576%2848 %0%f
block %864%2656 %0%f
block %864%2688 %0%f
block %864%2720 %0%f
block %448%2720 %0%f
block %448%2656 %0%f
block %448%2688 %0%f
block %768%2784 %0%f
block %512%2528 %0%f
block %512%2560 %0%f
block %512%2592 %0%f
block %512%2624 %0%f
block %544%2528 %0%f
block %576%2528 %0%f
block %608%2528 %0%f
block %640%2528 %0%f
block %800%2528 %0%f
block %672%2528 %0%f
block %704%2528 %0%f
block %736%2528 %0%f
block %768%2528 %0%f
block %800%2752 %0%f
block %672%2752 %0%f
block %704%2752 %0%f
block %736%2752 %0%f
block %768%2752 %0%f
block %640%2752 %0%f
block %512%2752 %0%f
block %544%2752 %0%f
block %576%2752 %0%f
block %608%2752 %0%f
block %800%2560 %0%f
block %800%2656 %0%f
block %800%2592 %0%f
block %800%2624 %0%f
block %800%2720 %0%f
block %800%2688 %0%f
block %512%2720 %0%f
block %512%2688 %0%f
block %512%2656 %0%f
block %864%1824 %0%f
block %1152%2048 %0%f
block %1152%1824 %0%f
block %1120%1824 %0%f
block %1088%1824 %0%f
block %1056%1824 %0%f
block %1024%1824 %0%f
block %992%1824 %0%f
block %960%1824 %0%f
block %928%1824 %0%f
block %896%1824 %0%f
block %864%1856 %0%f
block %864%1888 %0%f
block %864%1920 %0%f
block %864%1952 %0%f
block %864%1984 %0%f
block %864%2016 %0%f
block %864%2048 %0%f
block %896%2048 %0%f
block %928%2048 %0%f
block %992%2048 %0%f
block %960%2048 %0%f
block %1024%2048 %0%f
block %1056%2048 %0%f
block %1088%2048 %0%f
block %1120%2048 %0%f
block %1152%1984 %0%f
block %1152%2016 %0%f
block %1152%1952 %0%f
block %1152%1920 %0%f
block %1152%1888 %0%f
block %1152%1856 %0%f
block %800%1952 %0%f
block %800%2016 %0%f
block %800%1984 %0%f
block %1216%1952 %0%f
block %1216%2016 %0%f
block %1216%1984 %0%f
block %1152%2112 %0%f
block %1152%2080 %0%f
block %1120%2112 %0%f
block %1120%2080 %0%f
block %1088%2112 %0%f
block %1088%2080 %0%f
block %1056%2112 %0%f
block %1056%2080 %0%f
block %960%2112 %0%f
block %960%2080 %0%f
block %928%2112 %0%f
block %928%2080 %0%f
block %896%2112 %0%f
block %896%2080 %0%f
block %864%2112 %0%f
block %864%2080 %0%f
block %800%2112 %0%f
block %1728%1408 %0%f
block %1728%1440 %0%f
block %1760%1408 %0%f
block %1760%1440 %0%f
block %1792%1408 %0%f
block %1792%1440 %0%f
block %1824%1408 %0%f
block %1824%1440 %0%f
block %1856%1408 %0%f
block %1856%1440 %0%f
block %1888%1408 %0%f
block %1888%1440 %0%f
block %2400%1408 %0%f
block %2400%1440 %0%f
block %2432%1408 %0%f
block %2432%1440 %0%f
block %2464%1408 %0%f
block %2464%1440 %0%f
block %2496%1408 %0%f
block %2496%1440 %0%f
block %2528%1408 %0%f
block %2528%1440 %0%f
block %2560%1408 %0%f
block %2560%1440 %0%f
block %2208%1504 %0%f
block %2208%1536 %0%f
block %2208%1568 %0%f
block %2208%1600 %0%f
block %2240%1568 %0%f
block %2240%1600 %0%f
block %2336%1568 %0%f
block %2336%1600 %0%f
block %2336%1632 %0%f
block %2336%1664 %0%f
block %2240%1632 %0%f
block %2240%1664 %0%f
block %2112%1568 %0%f
block %2112%1600 %0%f
block %2112%1504 %0%f
block %2112%1536 %0%f
block %2176%1472 %0%f
block %2144%1472 %0%f
block %2144%1600 %0%f
block %2176%1600 %0%f
block %2272%1536 %0%f
block %2304%1536 %0%f
block %2272%1664 %0%f
block %2304%1664 %0%f
block %2880%1920 %0%f
block %2880%1952 %0%f
block %2880%1984 %0%f
block %2464%1920 %0%f
block %2464%1952 %0%f
block %2464%1984 %0%f
block %2752%2080 %0%f
block %2752%2112 %0%f
block %2784%2080 %0%f
block %2784%2112 %0%f
block %2816%2080 %0%f
block %2816%2112 %0%f
block %2848%2080 %0%f
block %2848%2112 %0%f
block %1728%928 %0%f
block %1696%928 %0%f
block %1920%736 %0%f
distributor%896%864 %0%f
distributor%928%864 %0%f
distributor%960%864 %0%f
distributor%992%864 %0%f
distributor%864%864 %0%f
distributor%768%864 %0%f
distributor%800%864 %0%f
distributor%832%864 %0%f
distributor%576%864 %0%f
distributor%480%864 %0%f
distributor%512%864 %0%f
distributor%544%864 %0%f
distributor%352%864 %0%f
distributor%448%864 %0%f
distributor%416%864 %0%f
distributor%384%864 %0%f
